"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\dto\update-inspector.dto.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\entities\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\entities\inspector.entity.ts", "TypeScript", 16, 0, 6, 22
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\entities\update.productor.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\inspector.controller.ts", "TypeScript", 149, 2, 14, 165
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\inspector.module.ts", "TypeScript", 10, 0, 2, 12
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\inspector.service.ts", "TypeScript", 194, 32, 32, 258
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\interfaces\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\interfaces\interfaces.interface.ts", "TypeScript", 7, 0, 2, 9
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\spec\inspector.controller.spec.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\spec\inspector.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\main.ts", "TypeScript", 16, 1, 4, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\prisma\prisma.module.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\prisma\prisma.service.ts", "TypeScript", 15, 6, 3, 24
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\dto\create-productor.dto.ts", "TypeScript", 42, 4, 8, 54
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\dto\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\dto\update-productor.dto.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\entities\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\entities\productor.entity.ts", "TypeScript", 22, 0, 8, 30
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\entities\update.productor.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\enums\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\enums\scope.enum.ts", "TypeScript", 4, 0, 1, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\interfaces\index.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\interfaces\productor.interface.ts", "TypeScript", 8, 0, 1, 9
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\interfaces\profile.interface.ts", "TypeScript", 6, 0, 1, 7
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\productor.controller.ts", "TypeScript", 121, 3, 9, 133
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\productor.module.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\productor\productor.service.ts", "TypeScript", 63, 0, 9, 72
